time,tasmin_day_drought_HadGEM2-ES_rcp85_late_century
2047-04-15 00:00:00+00:00,279.79977
2047-04-16 00:00:00+00:00,279.0781
2047-04-17 00:00:00+00:00,280.9413
2047-04-18 00:00:00+00:00,277.12683
2047-04-19 00:00:00+00:00,276.4533
2047-04-20 00:00:00+00:00,279.50357
2047-04-21 00:00:00+00:00,281.33618
2047-04-22 00:00:00+00:00,279.18878
2047-04-23 00:00:00+00:00,279.58826
2047-04-24 00:00:00+00:00,277.8214
2047-04-25 00:00:00+00:00,280.27438
2047-04-26 00:00:00+00:00,281.8646
2047-04-27 00:00:00+00:00,282.9499
2047-04-28 00:00:00+00:00,284.27582
2047-04-29 00:00:00+00:00,283.5135
2047-04-30 00:00:00+00:00,283.27554
2047-05-01 00:00:00+00:00,280.76785
2047-05-02 00:00:00+00:00,283.70026
2047-05-03 00:00:00+00:00,280.61102
2047-05-04 00:00:00+00:00,279.50513
2047-05-05 00:00:00+00:00,279.1924
2047-05-06 00:00:00+00:00,278.22464
2047-05-07 00:00:00+00:00,280.51602
2047-05-08 00:00:00+00:00,280.3058
2047-05-09 00:00:00+00:00,280.56378
2047-05-10 00:00:00+00:00,282.49655
2047-05-11 00:00:00+00:00,281.60703
2047-05-12 00:00:00+00:00,281.675
2047-05-13 00:00:00+00:00,282.56714
2047-05-14 00:00:00+00:00,279.59372
2047-05-15 00:00:00+00:00,277.9878
2047-05-16 00:00:00+00:00,280.54642
2047-05-17 00:00:00+00:00,279.0742
2047-05-18 00:00:00+00:00,278.0174
2047-05-19 00:00:00+00:00,278.47855
2047-05-20 00:00:00+00:00,276.6015
2047-05-21 00:00:00+00:00,277.3968
2047-05-22 00:00:00+00:00,278.05438
2047-05-23 00:00:00+00:00,279.34888
2047-05-24 00:00:00+00:00,278.94357
2047-05-25 00:00:00+00:00,279.37402
2047-05-26 00:00:00+00:00,281.78687
2047-05-27 00:00:00+00:00,279.18298
2047-05-28 00:00:00+00:00,277.70825
2047-05-29 00:00:00+00:00,280.38675
2047-05-30 00:00:00+00:00,280.78787
2047-05-31 00:00:00+00:00,281.2538
2047-06-01 00:00:00+00:00,282.40936
2047-06-02 00:00:00+00:00,281.00266
2047-06-03 00:00:00+00:00,284.8995
2047-06-04 00:00:00+00:00,286.1581
2047-06-05 00:00:00+00:00,284.34653
2047-06-06 00:00:00+00:00,282.72214
2047-06-07 00:00:00+00:00,283.658
2047-06-08 00:00:00+00:00,283.15347
2047-06-09 00:00:00+00:00,283.13684
2047-06-10 00:00:00+00:00,282.856
2047-06-11 00:00:00+00:00,282.0163
2047-06-12 00:00:00+00:00,279.63828
2047-06-13 00:00:00+00:00,284.0841
2047-06-14 00:00:00+00:00,282.6808
2047-06-15 00:00:00+00:00,281.9641
2047-06-16 00:00:00+00:00,279.9608
2047-06-17 00:00:00+00:00,284.38635
2047-06-18 00:00:00+00:00,286.7892
2047-06-19 00:00:00+00:00,287.26962
2047-06-20 00:00:00+00:00,284.61218
2047-06-21 00:00:00+00:00,284.1572
2047-06-22 00:00:00+00:00,282.7306
2047-06-23 00:00:00+00:00,283.20782
2047-06-24 00:00:00+00:00,286.19943
2047-06-25 00:00:00+00:00,286.86798
2047-06-26 00:00:00+00:00,287.78522
2047-06-27 00:00:00+00:00,285.32016
2047-06-28 00:00:00+00:00,285.28683
2047-06-29 00:00:00+00:00,284.87512
2047-06-30 00:00:00+00:00,284.22903
2047-07-01 00:00:00+00:00,282.57764
