time,tasmax_day_drought_HadGEM2-ES_rcp85_late_century
2047-05-06 00:00:00+00:00,295.53717
2047-05-07 00:00:00+00:00,298.651
2047-05-08 00:00:00+00:00,300.11636
2047-05-09 00:00:00+00:00,300.15314
2047-05-10 00:00:00+00:00,301.02805
2047-05-11 00:00:00+00:00,302.69687
2047-05-12 00:00:00+00:00,300.8878
2047-05-13 00:00:00+00:00,293.5534
2047-05-14 00:00:00+00:00,291.18384
2047-05-15 00:00:00+00:00,297.09952
2047-05-16 00:00:00+00:00,299.7389
2047-05-17 00:00:00+00:00,300.44196
2047-05-18 00:00:00+00:00,296.6283
2047-05-19 00:00:00+00:00,295.0004
2047-05-20 00:00:00+00:00,298.81708
2047-05-21 00:00:00+00:00,296.5711
2047-05-22 00:00:00+00:00,298.93933
2047-05-23 00:00:00+00:00,297.66473
2047-05-24 00:00:00+00:00,299.2755
2047-05-25 00:00:00+00:00,297.37823
2047-05-26 00:00:00+00:00,297.73978
2047-05-27 00:00:00+00:00,296.69366
2047-05-28 00:00:00+00:00,300.89362
2047-05-29 00:00:00+00:00,300.20248
2047-05-30 00:00:00+00:00,297.12772
2047-05-31 00:00:00+00:00,297.621
2047-06-01 00:00:00+00:00,296.6064
2047-06-02 00:00:00+00:00,302.37344
2047-06-03 00:00:00+00:00,302.42902
2047-06-04 00:00:00+00:00,301.62402
2047-06-05 00:00:00+00:00,299.3789
2047-06-06 00:00:00+00:00,295.48798
2047-06-07 00:00:00+00:00,294.39026
2047-06-08 00:00:00+00:00,293.52536
2047-06-09 00:00:00+00:00,294.58115
2047-06-10 00:00:00+00:00,295.25052
2047-06-11 00:00:00+00:00,297.10706
2047-06-12 00:00:00+00:00,299.05975
2047-06-13 00:00:00+00:00,298.254
2047-06-14 00:00:00+00:00,297.7185
2047-06-15 00:00:00+00:00,297.01733
2047-06-16 00:00:00+00:00,303.15002
2047-06-17 00:00:00+00:00,310.58047
2047-06-18 00:00:00+00:00,311.11023
2047-06-19 00:00:00+00:00,310.95056
2047-06-20 00:00:00+00:00,303.4699
2047-06-21 00:00:00+00:00,299.35974
2047-06-22 00:00:00+00:00,303.3862
2047-06-23 00:00:00+00:00,304.81476
2047-06-24 00:00:00+00:00,304.2141
2047-06-25 00:00:00+00:00,307.37714
2047-06-26 00:00:00+00:00,307.89792
2047-06-27 00:00:00+00:00,306.93866
2047-06-28 00:00:00+00:00,302.7796
