time,et_day_drought_HadGEM2-ES_rcp85_late_century
2046-11-10 00:00:00+00:00,0.18076527
2046-11-11 00:00:00+00:00,0.18413068
2046-11-12 00:00:00+00:00,0.17144713
2046-11-13 00:00:00+00:00,0.19078632
2046-11-14 00:00:00+00:00,0.18436758
2046-11-15 00:00:00+00:00,0.16021205
2046-11-16 00:00:00+00:00,0.11194349
2046-11-17 00:00:00+00:00,0.077482544
2046-11-18 00:00:00+00:00,0.07609606
2046-11-19 00:00:00+00:00,0.09352649
2046-11-20 00:00:00+00:00,0.090971164
2046-11-21 00:00:00+00:00,0.10222988
2046-11-22 00:00:00+00:00,0.091952436
2046-11-23 00:00:00+00:00,0.07539514
2046-11-24 00:00:00+00:00,0.08456008
2046-11-25 00:00:00+00:00,0.08888851
2046-11-26 00:00:00+00:00,0.09213374
2046-11-27 00:00:00+00:00,0.17790665
2046-11-28 00:00:00+00:00,3.8776863
2046-11-29 00:00:00+00:00,3.9359272
2046-11-30 00:00:00+00:00,3.6330547
2046-12-01 00:00:00+00:00,3.1139832
2046-12-02 00:00:00+00:00,1.677404
2046-12-03 00:00:00+00:00,0.67027366
2046-12-04 00:00:00+00:00,0.6624854
2046-12-05 00:00:00+00:00,0.7059321
2046-12-06 00:00:00+00:00,0.5945114
2046-12-07 00:00:00+00:00,0.64067304
2046-12-08 00:00:00+00:00,0.5832093
2046-12-09 00:00:00+00:00,0.5111347
2046-12-10 00:00:00+00:00,1.3551228
2046-12-11 00:00:00+00:00,1.3367603
2046-12-12 00:00:00+00:00,2.0006266
2046-12-13 00:00:00+00:00,2.3831327
2046-12-14 00:00:00+00:00,2.6885126
2046-12-15 00:00:00+00:00,1.3462797
2046-12-16 00:00:00+00:00,0.91892946
2046-12-17 00:00:00+00:00,1.0060387
2046-12-18 00:00:00+00:00,0.98683447
2046-12-19 00:00:00+00:00,1.0343302
2046-12-20 00:00:00+00:00,0.82862395
2046-12-21 00:00:00+00:00,1.1150125
2046-12-22 00:00:00+00:00,1.0104347
2046-12-23 00:00:00+00:00,0.88176554
2046-12-24 00:00:00+00:00,0.86309934
2046-12-25 00:00:00+00:00,0.9111531
2046-12-26 00:00:00+00:00,1.31521
2046-12-27 00:00:00+00:00,1.5733145
2046-12-28 00:00:00+00:00,1.4047649
2046-12-29 00:00:00+00:00,0.7646271
2046-12-30 00:00:00+00:00,0.74958664
2046-12-31 00:00:00+00:00,1.1593103
2047-01-01 00:00:00+00:00,1.2609761
2047-01-02 00:00:00+00:00,1.3840554
2047-01-03 00:00:00+00:00,1.1665316
2047-01-04 00:00:00+00:00,1.0659908
2047-01-05 00:00:00+00:00,1.1401265
2047-01-06 00:00:00+00:00,0.78860855
2047-01-07 00:00:00+00:00,1.4753139
2047-01-08 00:00:00+00:00,1.5817817
2047-01-09 00:00:00+00:00,1.4705131
2047-01-10 00:00:00+00:00,0.8714441
2047-01-11 00:00:00+00:00,1.0731236
2047-01-12 00:00:00+00:00,0.74102056
2047-01-13 00:00:00+00:00,1.4347829
2047-01-14 00:00:00+00:00,1.446221
2047-01-15 00:00:00+00:00,2.1649604
2047-01-16 00:00:00+00:00,1.383972
2047-01-17 00:00:00+00:00,1.0743774
2047-01-18 00:00:00+00:00,2.8470035
2047-01-19 00:00:00+00:00,1.8426074
2047-01-20 00:00:00+00:00,1.6837335
2047-01-21 00:00:00+00:00,0.9000535
2047-01-22 00:00:00+00:00,0.6124069
2047-01-23 00:00:00+00:00,1.1145144
2047-01-24 00:00:00+00:00,1.107444
2047-01-25 00:00:00+00:00,1.4744536
2047-01-26 00:00:00+00:00,1.5641369
2047-01-27 00:00:00+00:00,1.8763798
2047-01-28 00:00:00+00:00,1.973501
2047-01-29 00:00:00+00:00,1.9991893
2047-01-30 00:00:00+00:00,1.9051763
2047-01-31 00:00:00+00:00,2.0632532
2047-02-01 00:00:00+00:00,1.9935706
2047-02-02 00:00:00+00:00,1.9121642
2047-02-03 00:00:00+00:00,0.9746041
2047-02-04 00:00:00+00:00,2.657428
2047-02-05 00:00:00+00:00,2.411805
2047-02-06 00:00:00+00:00,1.9524649
2047-02-07 00:00:00+00:00,1.0766747
2047-02-08 00:00:00+00:00,0.95408297
2047-02-09 00:00:00+00:00,1.8403008
2047-02-10 00:00:00+00:00,2.7309875
2047-02-11 00:00:00+00:00,1.2717333
2047-02-12 00:00:00+00:00,1.6122293
2047-02-13 00:00:00+00:00,1.5548977
2047-02-14 00:00:00+00:00,1.79261
2047-02-15 00:00:00+00:00,1.4447334
2047-02-16 00:00:00+00:00,1.0937861
2047-02-17 00:00:00+00:00,1.1380255
2047-02-18 00:00:00+00:00,0.9171439
2047-02-19 00:00:00+00:00,3.2372918
2047-02-20 00:00:00+00:00,4.024918
2047-02-21 00:00:00+00:00,2.4946592
2047-02-22 00:00:00+00:00,2.0972807
2047-02-23 00:00:00+00:00,1.9376328
2047-02-24 00:00:00+00:00,1.9906821
2047-02-25 00:00:00+00:00,2.2908382
2047-02-26 00:00:00+00:00,3.048099
2047-02-27 00:00:00+00:00,1.9584312
2047-02-28 00:00:00+00:00,2.3507829
2047-03-01 00:00:00+00:00,2.500997
2047-03-02 00:00:00+00:00,2.8384283
2047-03-03 00:00:00+00:00,3.01694
2047-03-04 00:00:00+00:00,3.0230877
2047-03-05 00:00:00+00:00,2.9401832
2047-03-06 00:00:00+00:00,1.7556378
2047-03-07 00:00:00+00:00,2.1077976
2047-03-08 00:00:00+00:00,2.0780108
2047-03-09 00:00:00+00:00,2.603485
2047-03-10 00:00:00+00:00,2.1866002
2047-03-11 00:00:00+00:00,2.0419717
2047-03-12 00:00:00+00:00,2.148408
2047-03-13 00:00:00+00:00,2.7446225
2047-03-14 00:00:00+00:00,2.4763708
2047-03-15 00:00:00+00:00,2.9053605
2047-03-16 00:00:00+00:00,2.5024924
2047-03-17 00:00:00+00:00,2.7398646
2047-03-18 00:00:00+00:00,2.5092766
2047-03-19 00:00:00+00:00,3.0850842
2047-03-20 00:00:00+00:00,3.407721
2047-03-21 00:00:00+00:00,3.6996317
2047-03-22 00:00:00+00:00,3.229772
2047-03-23 00:00:00+00:00,2.503196
2047-03-24 00:00:00+00:00,2.178211
2047-03-25 00:00:00+00:00,2.8199627
2047-03-26 00:00:00+00:00,2.007992
2047-03-27 00:00:00+00:00,1.9002491
2047-03-28 00:00:00+00:00,1.2999202
2047-03-29 00:00:00+00:00,3.4926245
2047-03-30 00:00:00+00:00,2.5422506
2047-03-31 00:00:00+00:00,2.9651773
2047-04-01 00:00:00+00:00,3.3123312
2047-04-02 00:00:00+00:00,3.4812837
2047-04-03 00:00:00+00:00,3.527374
2047-04-04 00:00:00+00:00,3.1532393
2047-04-05 00:00:00+00:00,2.6294305
2047-04-06 00:00:00+00:00,2.2119215
2047-04-07 00:00:00+00:00,2.2116697
2047-04-08 00:00:00+00:00,2.6256838
2047-04-09 00:00:00+00:00,2.8555367
2047-04-10 00:00:00+00:00,2.6181302
2047-04-11 00:00:00+00:00,2.3004098
2047-04-12 00:00:00+00:00,2.7717755
2047-04-13 00:00:00+00:00,2.719443
2047-04-14 00:00:00+00:00,2.7701173
2047-04-15 00:00:00+00:00,1.9945852
2047-04-16 00:00:00+00:00,2.445681
2047-04-17 00:00:00+00:00,1.6833556
2047-04-18 00:00:00+00:00,5.0189238
2047-04-19 00:00:00+00:00,3.5430965
2047-04-20 00:00:00+00:00,4.2522187
2047-04-21 00:00:00+00:00,4.0566406
2047-04-22 00:00:00+00:00,2.9192634
2047-04-23 00:00:00+00:00,3.4248602
2047-04-24 00:00:00+00:00,3.7654073
2047-04-25 00:00:00+00:00,4.2926164
2047-04-26 00:00:00+00:00,4.0154366
2047-04-27 00:00:00+00:00,3.2007196
2047-04-28 00:00:00+00:00,3.3578598
2047-04-29 00:00:00+00:00,2.78616
2047-04-30 00:00:00+00:00,3.329798
2047-05-01 00:00:00+00:00,3.595227
2047-05-02 00:00:00+00:00,2.9274151
2047-05-03 00:00:00+00:00,2.9641035
2047-05-04 00:00:00+00:00,3.0012188
2047-05-05 00:00:00+00:00,2.5777707
2047-05-06 00:00:00+00:00,3.3235233
2047-05-07 00:00:00+00:00,4.017481
2047-05-08 00:00:00+00:00,4.2958827
2047-05-09 00:00:00+00:00,4.243208
2047-05-10 00:00:00+00:00,4.427349
2047-05-11 00:00:00+00:00,4.4740767
2047-05-12 00:00:00+00:00,4.1506147
2047-05-13 00:00:00+00:00,2.4751053
2047-05-14 00:00:00+00:00,2.282284
2047-05-15 00:00:00+00:00,3.5093615
2047-05-16 00:00:00+00:00,3.941354
2047-05-17 00:00:00+00:00,3.928891
2047-05-18 00:00:00+00:00,3.1738148
2047-05-19 00:00:00+00:00,2.8386667
2047-05-20 00:00:00+00:00,3.4443161
2047-05-21 00:00:00+00:00,3.155561
2047-05-22 00:00:00+00:00,3.6096988
2047-05-23 00:00:00+00:00,3.367822
